,PHIY_TOE_CELE_SAGR,PHIY_TOE_CELE_SAGR_0,PHIY_TOE_CELE_SAIR,PHIY_TOE_CELE_SAIR_0,PHIY_TOE_CELE_SBFU,PHIY_TOE_CELE_SBFU_0,PHIY_TOE_CELE_SBGA,PHIY_TOE_CELE_SBGA_0,PHIY_TOE_CELE_SCGO,PHIY_TOE_CELE_SCGO_0,PHIY_TOE_CELE_SCHE,PHIY_TOE_CELE_SCHE_0,PHIY_TOE_CELE_SCON,PHIY_TOE_CELE_SCON_0,PHIY_TOE_CELE_SDGA,PHIY_TOE_CELE_SDGA_0,PHIY_TOE_CELE_SECH,PHIY_TOE_CELE_SECH_0,PHIY_TOE_CELE_SECO,PHIY_TOE_CELE_SECO_0,PHIY_TOE_CELE_SEGA,PHIY_TOE_CELE_SEGA_0,PHIY_TOE_CELE_SEHY,PHIY_TOE_CELE_SEHY_0,PHIY_TOE_CELE_SENU,PHIY_TOE_CELE_SENU_0,PHIY_TOE_CELE_SEOI,PHIY_TOE_CELE_SEOI_0,PHIY_TOE_CELE_SEOT,PHIY_TOE_CELE_SEOT_0,PHIY_TOE_CELE_SESO,PHIY_TOE_CELE_SESO_0,PHIY_TOE_CELE_SEWI,PHIY_TOE_CELE_SEWI_0,PHIY_TOE_CELE_SFOO,PHIY_TOE_CELE_SFOO_0,PHIY_TOE_CELE_SFOR,PHIY_TOE_CELE_SFOR_0,PHIY_TOE_CELE_SGLA,PHIY_TOE_CELE_SGLA_0,PHIY_TOE_CELE_SIGO,PHIY_TOE_CELE_SIGO_0,PHIY_TOE_CELE_SMET,PHIY_TOE_CELE_SMET_0,PHIY_TOE_CELE_SMIN,PHIY_TOE_CELE_SMIN_0,PHIY_TOE_CELE_SOIL,PHIY_TOE_CELE_SOIL_0,PHIY_TOE_CELE_SPAP,PHIY_TOE_CELE_SPAP_0,PHIY_TOE_CELE_SPGA,PHIY_TOE_CELE_SPGA_0,PHIY_TOE_CELE_SPLA,PHIY_TOE_CELE_SPLA_0,PHIY_TOE_CELE_SPRI,PHIY_TOE_CELE_SPRI_0,PHIY_TOE_CELE_SPUB,PHIY_TOE_CELE_SPUB_0,PHIY_TOE_CELE_SRAI,PHIY_TOE_CELE_SRAI_0,PHIY_TOE_CELE_SROA,PHIY_TOE_CELE_SROA_0,PHIY_TOE_CELE_SVEH,PHIY_TOE_CELE_SVEH_0,PHIY_TOE_CELE_SWAT,PHIY_TOE_CELE_SWAT_0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039264,0.039264,0.005129,0.005129,0.042152,0.042152,0.109412,0.109412,0.715951,0.715951,0.009590,0.009590,0.001287,0.001287,0.017150,0.017150,0.060066,0.060066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
